l1,l2Code,l2Name,l3Code,l3Name,l4Code,l4Name,channels
,,,,,ord_roam_join_05,로밍부가서비스 신청,T월드
,,,ord_roam_card,로밍 쿠폰/카드 구매,ord_roam_card_01,로밍 쿠폰/카드 구매,T월드
,,,ord_roam_coupon,baro Box 임대,ord_roam_coupon_01,"baro Box 예약 신청 (국가, 일자, 수령 위치)",T월드
,ord_add,부가서비스 가입,ord_add_join,부가서비스 가입,ord_add_join_01,부가서비스 선택,T월드
,,,,,ord_add_join_02,부가서비스 가입 신청,T월드
,ord_univ,T우주 구독 가입,ord_univ_join,구독 상품 선택,ord_univ_join_01,구독 상품 및 옵션 선택,T우주
,,,ord_univ_pay,구독 상품 결제,ord_univ_pay_01,결제 수단 선택,T우주
,,,,,ord_univ_pay_02,상품 약관 동의,T우주
,,,,,ord_univ_pay_03,"결제 진행 (상품 결제, 구독 결제 등)",T우주
,ord_acc,액세서리 주문,ord_acc_order,액세서리 주문,ord_acc_order_01,액세서리 상품 및 옵션 선택,T다이렉트
,,,,,ord_acc_order_02,장바구니 담기 및 관리,T다이렉트
,,,,,ord_acc_order_03,결제 수단 선택,T다이렉트
,,,,,ord_acc_order_04,결제 진행,T다이렉트
,,[대리점/고객센터] 구매/개통,ord_phone_offline,[대리점/고객센터] 디바이스 선택,ord_phone_offline_01,디바이스 및 디바이스 옵션 선택,"유통망, 고객센터"
,,,,,ord_phone_offline_02,즉시 수령 OR 택배 정보 입력,"유통망, 고객센터"
,,,ord_offline_form,"[대리점/고객센터] 주문 진행
(대리점 - 스마트플래너)",ord_offline_form_01,가입 유형 선택(기기변경/번호이동/신규가입),"유통망, 고객센터"
,,,,,ord_offline_form_02,가입자 정보 확인,"유통망, 고객센터"
,,,,,ord_offline_form_03,요금제 및 부가서비스 선택,"유통망, 고객센터"
,,,,,ord_offline_form_04,휴대폰 보험 선택,"유통망, 고객센터"
,,,,,ord_offline_form_05,할부기간 선택,"유통망, 고객센터"
,,,,,ord_offline_form_06,예상 월 납부금액 확인,"유통망, 고객센터"
,,,,,ord_offline_form_07,포인트 및 이용권 할인,"유통망, 고객센터"
,,,,,ord_offline_form_08,혜택 선택 ,"유통망, 고객센터"
,,,,,ord_offline_form_09,제휴 카드 신청,"유통망, 고객센터"
,,,,,ord_offline_form_10,주문 확인(휴대폰 월 할부금/월 통신요금/월 납부금액),"유통망, 고객센터"
,,,ord_offline_apply,[대리점/고객센터] 신청서 작성,ord_offline_apply_01,본인 인증(신분증 등),"유통망, 고객센터"
,,,,,ord_offline_apply_02,(미성년자) 법정대리인 인증 (서류 제출),"유통망, 고객센터"
,,,,,ord_offline_apply_03,"(번호이동) 번호이동 인증, 통신사 정보 입력","유통망, 고객센터"
,,,,,ord_offline_apply_04,(신규가입) 희망 번호 입력,"유통망, 고객센터"
,,,,,ord_offline_apply_05,개인 정보 입력 (주소),"유통망, 고객센터"
,,,,,ord_offline_apply_06,"SIM 구매 유무 및 USIM, eSIM 선택","유통망, 고객센터"
,,,,,ord_offline_apply_07,납부 방식 선택 (계좌/카드) 및 유효성 체크,"유통망, 고객센터"
,,,,,ord_offline_apply_08,"요금안내서 수신 방법 선택(Bill Letter앱, 문자, 이메일, T world)","유통망, 고객센터"
,,,,,ord_offline_apply_09,휴대폰 배송 방법 선택 및 배송 정보 확인,"유통망, 고객센터"
,,,,,ord_offline_apply_10,휴대폰 번호 인증,"유통망, 고객센터"
,,,,,ord_offline_apply_11,약관 동의(스마트플래너),"유통망, 고객센터"
,,,,,ord_offline_apply_12,결제하기,"유통망, 고객센터"
,,,,,ord_offline_apply_13,신청서 출력 및 공유,"유통망, 고객센터"
,,,ord_offline_setup,[대리점] 개통 및 휴대폰 설정,ord_offline_setup_01,"개통 처리 (USIM 장착/활성화, eSIM 현장개통 지원)",유통망
,,,,,ord_offline_setup_02,휴대폰 설정 (기본 설정),유통망
,,,,,ord_offline_setup_03,데이터 이전 지원,유통망
,,,,,ord_offline_setup_04,보호필름/케이스 등 액세서리 구매 및 적용,유통망
,,,ord_net_offline,[대리점/고객센터]  인터넷/B tv 가입,ord_net_offline_01,인터넷/B tv 가입 접수,"유통망, 고객센터"
,,,,,ord_net_offline_02,설치 일정 현장 예약,"유통망, 고객센터"
,,,ord_combo_offline,[대리점/고객센터] 결합 신청,ord_combo_offline_01,결합상품 신청,"유통망, 고객센터"
,,,,,ord_combo_offline_03,"결합 유형 선택(나 혼자 결합, 가족 결합)","유통망, 고객센터"
,,,,,ord_combo_offline_02,결합 상품 조회 및 회선 선택,"유통망, 고객센터"
,,,,,ord_combo_offline_04,(가족 결합) 가족 회선 추가 및 가족 정보 입력,"유통망, 고객센터"
,,,,,ord_combo_offline_05,(가족 결합) 결합신청 가족 동의,"유통망, 고객센터"
,,,,,ord_combo_offline_06,예상 할인 금액 확인,"유통망, 고객센터"
,,,,,ord_combo_offline_07,가족 관계 서류 제출,"유통망, 고객센터"
,,,,,ord_combo_offline_08,약관 동의 및 완료,"유통망, 고객센터"
서비스 이용,use_bill,요금/납부 관리,use_bill_stmt,요금안내서 조회,use_bill_stmt_01,청구월 선택,T월드
,,,,,use_bill_stmt_02,요금안내서 상세 확인,T월드
,,,,,use_bill_stmt_03,요금안내서 설정 변경,T월드
,,,,,use_bill_stmt_04,청구지 주소/연락처 변경 신청,T월드
,,,use_bill_real,실시간 이용요금,use_bill_real_01,실시간 이용요금 조회,T월드
